Date,pt.d.all
2015-12-15,8.702476990549506
2015-12-16,8.709663111485412
2015-12-17,8.716453802267115
2015-12-18,8.708210150442287
2015-12-21,8.705297960601548
2015-12-22,8.713269729496226
2015-12-23,8.738895704934043
2015-12-24,8.741072487628779
2015-12-29,8.750619706992612
2015-12-30,8.744185342983611
2015-12-31,8.739103951906003
2016-01-04,8.714961481172656
2016-01-05,8.722123922895417
2016-01-06,8.711673842954664
2016-01-07,8.691835353267836
2016-01-08,8.684807102820725
2016-01-11,8.677916476505995
2016-01-12,8.687644608580488
2016-01-13,8.692993531219926
2016-01-14,8.6857876605922
2016-01-15,8.666319860177941
2016-01-18,8.662141643582858
2016-01-19,8.678767641830904
2016-01-20,8.643579133092285
2016-01-21,8.661085687763034
2016-01-22,8.68270762989381
2016-01-25,8.678801706612651
2016-01-26,8.684654885303168
2016-01-27,8.697913450541092
2016-01-28,8.688082954321425
2016-01-29,8.713384747625353
2016-02-01,8.709481596692001
2016-02-02,8.686429508661536
2016-02-03,8.671989393875709
2016-02-04,8.682504186266238
2016-02-05,8.673872117845415
2016-02-08,8.646360056241075
2016-02-09,8.636255443248835
2016-02-10,8.643349923776913
2016-02-11,8.619208116822968
2016-02-12,8.649553916166282
2016-02-15,8.669794066004814
2016-02-16,8.676280272054548
2016-02-17,8.704552007338938
2016-02-18,8.69483715865908
2016-02-19,8.69118014424466
2016-02-22,8.705778456054984
2016-02-23,8.693211558899167
2016-02-24,8.677132830605938
2016-02-25,8.70164577673636
2016-02-26,8.715388097366482
2016-02-29,8.715568543299087
2016-03-01,8.724678778502158
2016-03-02,8.723735720759501
2016-03-03,8.721031591672443
2016-03-04,8.732207776404177
2016-03-07,8.729461808782297
2016-03-08,8.720199323460188
2016-03-09,8.723605521957504
2016-03-10,8.70561281635944
2016-03-11,8.722547415509874
2016-03-14,8.728199397885902
2016-03-15,8.722580021141189
2016-03-16,8.728345129878068
2016-03-17,8.732481990399283
2016-03-18,8.730625759012717
2016-03-21,8.729817625930467
2016-03-22,8.731126489514754
2016-03-23,8.732159414959236
2016-03-24,8.717109056611143
2016-03-29,8.71701077983319
2016-03-30,8.73282059840243
2016-03-31,8.72824795121803
2016-04-01,8.723573029192403
2016-04-04,8.726594784296335
2016-04-05,8.714600417692932
2016-04-06,8.726091778909815
2016-04-07,8.722074991736893
2016-04-08,8.733013981010759
2016-04-11,8.732320715686123
2016-04-12,8.739119987158528
2016-04-13,8.758239511904238
2016-04-14,8.758585237129633
2016-04-15,8.7552332061786
2016-04-18,8.756761121144589
2016-04-19,8.764896648344905
2016-04-20,8.765661320223074
2016-04-21,8.761142772699749
2016-04-22,8.749954329492816
2016-04-25,8.742079208130486
2016-04-26,8.745841563364893
2016-04-27,8.751458648778728
2016-04-28,8.751854146444693
2016-04-29,8.73903988655087
2016-05-03,8.729979304801688
2016-05-04,8.718009330846357
2016-05-05,8.718876069760919
2016-05-06,8.72024834648121
2016-05-09,8.718467309185932
2016-05-10,8.725296230419254
2016-05-11,8.726237818350945
2016-05-12,8.716732369823669
2016-05-13,8.722335691620895
2016-05-16,8.724434961294964
2016-05-17,8.727097457629442
2016-05-18,8.72677314030427
2016-05-19,8.708375360509926
2016-05-20,8.725231194989197
2016-05-23,8.721993514056361
2016-05-24,8.735412607802918
2016-05-25,8.742398600016047
2016-05-26,8.742845624103904
2016-05-27,8.743659186048031
2016-05-31,8.737259983106155
2016-06-01,8.730997249496738
2016-06-02,8.729979304801688
2016-06-03,8.733851776341298
2016-06-06,8.744073735840638
2016-06-07,8.745841563364893
2016-06-08,8.748542979277547
2016-06-09,8.737436525538367
2016-06-10,8.718630833466698
2016-06-13,8.706986763048892
2016-06-14,8.686682769394814
2016-06-15,8.693966016546568
2016-06-16,8.691230528622494
2016-06-17,8.70302526208232
2016-06-20,8.73294952429643
2016-06-21,8.736585732103011
2016-06-22,8.742127170208168
2016-06-23,8.75433433338211
2016-06-24,8.722368304156218
2016-06-27,8.696543704914179
2016-06-28,8.722645149695156
2016-06-29,8.757799394835514
2016-06-30,8.780218745596942
2016-07-01,8.79145559221587
2016-07-04,8.782982323506113
2016-07-05,8.786517776911937
2016-07-06,8.77394173220674
2016-07-07,8.784743952678394
2016-07-08,8.793399685210499
2016-07-11,8.807307289446445
2016-07-12,8.806978080695055
2016-07-13,8.805435092486293
2016-07-14,8.803048596526612
2016-07-15,8.80525522097205
2016-07-18,8.809175987834136
2016-07-19,8.809474655781695
2016-07-20,8.814181823188319
2016-07-21,8.809847865318762
2016-07-22,8.814404714084148
2016-07-25,8.811369147537954
2016-07-26,8.813438494528507
2016-07-27,8.81735702690334
2016-07-28,8.813007125127363
2016-07-29,8.813497966636232
2016-08-01,8.808966881771273
2016-08-02,8.801680150276162
2016-08-03,8.800023498417312
2016-08-04,8.81584490603386
2016-08-05,8.823721551664379
2016-08-08,8.826015246161553
2016-08-09,8.832193665764665
2016-08-10,8.834395216181674
2016-08-11,8.841404887455791
2016-08-12,8.84159284680318
2016-08-15,8.845229977354494
2016-08-16,8.838392227439018
2016-08-17,8.833346124318243
2016-08-18,8.834773814213882
2016-08-19,8.83331693749932
2016-08-22,8.828860309118479
2016-08-23,8.83470102076526
2016-08-24,8.829928758360122
2016-08-25,8.827160087720252
2016-08-26,8.830265208532621
2016-08-30,8.827732017376109
2016-08-31,8.82195359540277
2016-09-01,8.816705015621595
2016-09-02,8.838493789655807
2016-09-05,8.836286703626651
2016-09-06,8.828508793533798
2016-09-07,8.831507471932156
2016-09-08,8.833273226865137
2016-09-09,8.821289805136113
2016-09-12,8.809997110142419
2016-09-13,8.804715265717434
2016-09-14,8.805869739915877
2016-09-15,8.814374969148421
2016-09-16,8.81139890924889
2016-09-19,8.82667590815942
2016-09-20,8.829197047420166
2016-09-21,8.829782458997935
2016-09-22,8.84092748703078
2016-09-23,8.840638068177714
2016-09-26,8.827321452697849
2016-09-27,8.825809632167287
2016-09-28,8.831916321921423
2016-09-29,8.842084325536891
2016-09-30,8.83917520785463
2016-10-03,8.851305502745825
2016-10-04,8.864223750078493
2016-10-05,8.858411263678644
2016-10-06,8.85366542803745
2016-10-07,8.859988240057968
2016-10-10,8.867497888347126
2016-10-11,8.863743035421981
2016-10-12,8.857088135314953
2016-10-13,8.85047465655209
2016-10-14,8.855606414198217
2016-10-17,8.846151569235971
2016-10-18,8.85367972760039
2016-10-19,8.8567891017626
2016-10-20,8.857500906369488
2016-10-21,8.856589719554696
2016-10-24,8.851720667121473
2016-10-25,8.856176572139473
2016-10-26,8.847661741589475
2016-10-27,8.85174932171426
2016-10-28,8.853136688949215
2016-10-31,8.847101100665434
